Product ID,Category,Inventory_Level,Forecast_Next_4wk,Stockout_Risk,Overstock_Risk,Recommended_Action,Revenue_at_Stake
P0014,Furniture,3733,4074.8875,0,0,Healthy,519397.3791887207
P0011,Clothing,3023,4941.25,0,0,Healthy,497900.115
P0009,Clothing,2058,5107.201,1,0,Reorder Now,426313.4034199219
P0020,Clothing,2267,4310.9644,1,0,Reorder Now,410757.3057177735
P0016,Electronics,2157,5153.9634,1,0,Reorder Now,387541.96835009765
P0012,Electronics,3404,3632.162,0,0,Healthy,361835.98933593754
P0018,Furniture,2075,4096.1357,1,0,Reorder Now,334789.462616211
P0019,Groceries,1850,3479.1406,1,0,Reorder Now,319051.111875
P0008,Furniture,1531,4454.7993,1,0,Reorder Now,317119.3441376953
P0003,Furniture,2985,3954.2957,0,0,Healthy,317011.92830932623
P0010,Groceries,2545,4109.114,0,0,Healthy,279452.60923828126
P0015,Groceries,3793,3914.379,0,0,Healthy,244315.95943359376
P0017,Furniture,1900,3692.9412,1,0,Reorder Now,240879.47318090821
P0005,Clothing,5924,4405.8716,0,0,Healthy,233167.53586425784
P0002,Groceries,2904,4967.648,1,0,Reorder Now,218442.3832709961
P0013,Groceries,4082,4649.3804,0,0,Healthy,209761.44482226562
P0007,Groceries,3636,5628.612,0,0,Healthy,207842.1199326172
P0004,Groceries,3186,4602.7324,0,0,Healthy,204909.04468945312
P0006,Groceries,2494,4139.2183,0,0,Healthy,204767.12740722657
P0001,Groceries,3080,4302.2104,0,0,Healthy,158816.09873291015
